dobih_number,name,height_m,height_ft,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,latitude,longitude,nearest_center,min_distance_km,nearest_center_lat,nearest_center_lon
1,Ben Chonzie,931.0,3054.0,277324.0,730857.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.4538565242024,-3.9920620067733528,St Fillans,10.363014583580979,56.3926966,-4.1192135
17,Ben Vorlich,985.3,3233.0,262912.0,718916.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.34268676023304,-4.219463827205399,Lochearnhead,6.332440923148525,56.3867431,-4.284613
18,Stuc a' Chroin,973.0,3192.0,261746.0,717465.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.329321503425696,-4.237548857497816,Strathyre,5.662300137808474,56.3241178,-4.3289099
32,Ben Lomond,973.7,3195.0,236707.0,702863.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.19030154380975,-4.633031603227494,Tarbet,5.054266530773324,56.2037127,-4.7110966
26,Ben More,1174.0,3852.0,243276.0,724417.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.385966478441,-4.540097124843154,Crianlarich,4.72387245749093,56.3926292,-4.6158939
27,Stob Binnein,1165.0,3822.0,243481.0,722712.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.37073150306797,-4.5357629552690755,Crianlarich,5.501366147677836,56.3926292,-4.6158939
28,Stob Binnein - Stob Coire an Lochain,1068.0,3504.0,243842.0,722052.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,56.364927106768285,-4.529531858104978,Crianlarich,6.144996211221122,56.3926292,-4.6158939
39,Stob Binnein - Creag a' Bhragit,923.0,3028.0,244847.0,722468.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,56.368991657533805,-4.513526227305925,Crianlarich,6.828421920846978,56.3926292,-4.6158939
33,Stob Binnein - Meall na Dige,966.0,3169.0,245051.0,722592.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,56.37017150666956,-4.5103002573194875,Crianlarich,6.96393693071009,56.3926292,-4.6158939
30,Cruach Ardrain,1045.9,3431.0,240927.0,721215.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.35644360777096,-4.576160402387191,Crianlarich,4.709107134354519,56.3926292,-4.6158939
29,Cruach Ardrain SW Top,1044.9,3428.0,240815.0,721112.0,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,56.35548150829951,-4.57790861012615,Crianlarich,4.746896621169407,56.3926292,-4.6158939
40,Cruach Ardrain - Stob Garbh SE Top,923.5,3030.0,241285.0,721716.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,56.36106036305323,-4.570675603959221,Crianlarich,4.480375881215889,56.3926292,-4.6158939
34,Cruach Ardrain - Stob Garbh,957.7,3142.0,241112.0,722142.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,56.36482567070895,-4.573730513788729,Crianlarich,4.036953412939769,56.3926292,-4.6158939
